;;;;;;;;;;;;;;;;;;;;;;;
;;;"ESTADISTICAS POR INSTITUCION PRUEBAS SABER 11 2015 2";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
"CODINST";"NOMBREINSTITUCION";"CODIGOMUNICIPIO";"NOMBREMUNICIPIO";"DEPARTAMENTO";"CALENDARIO";"NATURALEZA";"JORNADA";"EVALUADOS";"PROMLECTURACRITICA";"PROMMATEMATICA";"PROMSOCIALESYCIUDADANAS";"PROMCIENCIASNATURALES";"PROMINGLES";"PROMRAZONAMIENTOCUANTITA";"PROMCOMPETENCIASCIUDADAN";"DESVLECTURACRITICA";"DESVMATEMATICA";"DESVSOCIALESYCIUDADANAS";"DESVCIENCIASNATURALES";"DESVINGLES";"DESVRAZONAMIENTOCUANTITA";"DESVCOMPETENCIASCIUDADAN";"PERIODO"
"142133";"I.E. INTERNADO SAN RAFAEL DEL CARAPARANA - SEDE PRINCIPAL";"91263";"EL ENCANTO";"AMAZONAS";"A";"OFICIAL";"MAÑANA";21;42,52;42,05;43,71;44,24;45,95;41,81;42,05;5,78;7,37;7,52;5,94;6,72;8,23;7,1;"20152"
"087445";"I.E. COLEGIO INDIGENA CASA DEL CONOCIMIENTO - SEDE PRINCIPAL";"91405";"LA CHORRERA";"AMAZONAS";"A";"OFICIAL";"MAÑANA";38;40,13;40,24;41,26;41,79;43,58;40,32;39,05;6,01;7,43;7,72;5,23;4,48;7,57;7,27;"20152"
"117127";"I.E. INTERNADO INDIGENA SAN JOSÉ - SEDE PRINCIPAL";"91407";"LA PEDRERA";"AMAZONAS";"A";"OFICIAL";"COMPLETA U ORDINARIA";31;39,87;39,48;38,81;42,74;43,77;39,71;37,68;5,98;9,04;8,56;5,32;5,42;9,3;6,77;"20152"
"019109";"I.E. ESCUELA NORMAL SUPERIOR MARCELIANO EDUARDO CANYES SANTACANA - SEDE PRINCIPAL";"91001";"LETICIA";"AMAZONAS";"A";"OFICIAL";"MAÑANA";89;49,93;47,65;50,28;49,55;47,76;48,01;49,44;7,94;9,5;9,38;6,81;7,49;10,42;8,95;"20152"
"038919";"I.E. INEM JOSE EUSTASIO RIVERA - SEDE PRINCIPAL";"91001";"LETICIA";"AMAZONAS";"A";"OFICIAL";"MAÑANA";134;45,85;44;46,95;46,49;46,58;44,99;46,41;7,88;8,41;8,22;6,44;6,13;8,9;8,24;"20152"
"065482";"I.E. INDIGENA SAN JUAN BOSCO - SEDE PRINCIPAL";"91001";"LETICIA";"AMAZONAS";"A";"OFICIAL";"COMPLETA U ORDINARIA";75;42,61;39,65;42,61;42,88;44,08;39,35;41,13;6,22;7,9;7,98;5,35;4,96;8,44;7,24;"20152"
"065490";"COL FEMENINO MARIA AUXILIADORA";"91001";"LETICIA";"AMAZONAS";"A";"OFICIAL";"COMPLETA U ORDINARIA";14;39,93;39,79;37,71;43,5;45,71;40,29;36,36;6,28;10,3;8,56;6,43;3,47;11,34;7,89;"20152"
"087429";"COL CRISTO REY";"91001";"LETICIA";"AMAZONAS";"A";"NO OFICIAL";"MAÑANA";18;55,67;57,56;58,67;56,44;59,39;59,06;58,22;9,65;11,38;10,44;11,79;12,16;13,47;8,5;"20152"
"093229";"I.E. COLEGIO TECNICO AGROPECUARIO JOSE CELESTINO MUTIS - SEDE PRINCIPAL";"91001";"LETICIA";"AMAZONAS";"A";"OFICIAL";"MAÑANA";45;41,11;36,07;39,27;41,36;44,56;35,58;39,4;6,6;6,92;9,41;5,67;5,67;8,39;8,16;"20152"
"117358";"I.E. SAGRADO CORAZON DE JESUS - SEDE PRINCIPAL";"91001";"LETICIA";"AMAZONAS";"A";"OFICIAL";"MAÑANA";61;47,64;42,85;45,95;45,62;46,66;43,92;44,82;8,02;9,57;11,26;7,09;7,43;11,38;10,12;"20152"
"132506";"I.E. FRANCISCO DEL ROSARIO VELA - SEDE PRINCIPAL";"91001";"LETICIA";"AMAZONAS";"A";"OFICIAL";"MAÑANA";23;44,26;41,65;42,78;45,09;46,22;41,83;42,39;5,12;5,96;7,61;5,19;5,3;7,08;7,65;"20152"
"135517";"I.E. FRANCISCO DE ORELLANA - SEDE PRINCIPAL";"91001";"LETICIA";"AMAZONAS";"A";"OFICIAL";"MAÑANA";15;37,27;34,53;35,53;41,4;45,4;34,13;35,6;7,25;5,71;6,27;4,6;3,79;7,4;6,14;"20152"
"153510";"COL  NAVAL AF-41 ( ANTES JARDIN)";"91001";"LETICIA";"AMAZONAS";"A";"NO OFICIAL";"COMPLETA U ORDINARIA";10;54,5;59,1;54,7;59,1;58,6;61,4;53,4;3,92;7,39;9,31;4,89;10,92;12,17;8,1;"20152"
"173260";"I.E. ESCUELA NORMAL SUPERIOR MARCELIANO EDUARDO CANYES SANTACANA - SEDE PRINCIPAL";"91001";"LETICIA";"AMAZONAS";"A";"OFICIAL";"TARDE";121;47,23;45,33;46,58;46,65;46,07;45,93;45,64;6,27;8,37;9,15;6,83;6,22;9,31;9,24;"20152"
"176198";"I.E. INEM JOSE EUSTASIO RIVERA - SEDE PRINCIPAL";"91001";"LETICIA";"AMAZONAS";"A";"OFICIAL";"NOCHE";68;40,87;37,57;38,88;38,84;44,16;37,54;38,71;7,93;10,11;10,27;8,78;5,8;11,03;8,67;"20152"
"188516";"I.E. SAGRADO CORAZON DE JESUS - SEDE PRINCIPAL";"91001";"LETICIA";"AMAZONAS";"A";"OFICIAL";"NOCHE";22;38,86;38,41;38,23;39,23;40,5;38,73;38,86;10,49;9,23;6,16;5,55;4,63;9,87;5,47;"20152"
"128397";"I.E. INTERNADO FRAY JAVIER DE BARCELONA - SEDE PRINCIPAL";"91669";"PTO SANTANDER";"AMAZONAS";"A";"OFICIAL";"MAÑANA";6;46;40,67;45,83;47,5;47,67;37,17;42,67;4,65;5,35;6,68;3,94;8,43;8,59;3,67;"20152"
"116897";"I.E. INTERNADO SAN FRANCISCO DE LORETOYACO - SEDE PRINCIPAL";"91540";"PUERTO NARIÑO";"AMAZONAS";"A";"OFICIAL";"COMPLETA U ORDINARIA";23;40,7;36,65;40,09;40,61;43,48;36,91;39,3;5,9;8,15;9,83;7,15;4,64;9,52;8,64;"20152"
"104281";"I.E. COLEGIO VILLA CARMEN - SEDE PRINCIPAL";"91798";"TARAPACA";"AMAZONAS";"A";"OFICIAL";"MAÑANA";28;39,5;36,18;38,71;41,04;44;35,79;37,82;5,61;7,83;7,24;4,54;6,27;7,94;6,49;"20152"
"001206";"I. E. ESCUELA NORMAL SUPERIOR";"05002";"ABEJORRAL";"ANTIOQUIA";"A";"OFICIAL";"COMPLETA U ORDINARIA";59;51,05;52,44;51,97;52,49;50;54,2;51,37;8,89;9,66;9,26;7,36;7,34;11,72;7,86;"20152"
"001214";"I. E.  MANUEL CANUTO RESTREPO";"05002";"ABEJORRAL";"ANTIOQUIA";"A";"OFICIAL";"COMPLETA U ORDINARIA";28;48,96;47,04;48,11;47,46;48,32;46,36;47,36;7,26;11,66;9,22;9,44;5,52;12,51;9,41;"20152"
"031088";"I. E. FUNDACION CELIA DUQUE DE DUQUE";"05002";"ABEJORRAL";"ANTIOQUIA";"A";"OFICIAL";"COMPLETA U ORDINARIA";23;55,22;57,61;56;57,13;55,35;57,78;54,61;8,37;12,42;9,94;8,58;10,48;13,85;9,3;"20152"
"050989";"I. E. R. ZOILA DUQUE BAENA";"05002";"ABEJORRAL";"ANTIOQUIA";"A";"OFICIAL";"COMPLETA U ORDINARIA";12;47,5;44,08;49,75;47,5;45,33;44,75;48,08;5,35;6,56;8,95;5,73;3,75;6,78;7,54;"20152"
"053561";"I. E. R.  DE PANTANILLO";"05002";"ABEJORRAL";"ANTIOQUIA";"A";"OFICIAL";"COMPLETA U ORDINARIA";15;50,07;48,2;49,8;49,93;47,73;50,4;49,93;6,53;10,71;6,79;6,67;5,69;11,8;6,83;"20152"
"063644";"I. E.  MANUEL CANUTO RESTREPO";"05002";"ABEJORRAL";"ANTIOQUIA";"A";"OFICIAL";"NOCHE";24;44,92;41,46;45,79;42,58;45,71;42,33;46,42;7,97;9,48;9,56;5,87;5,3;10,17;9,46;"20152"
"085795";"I. E. PEDRO PABLO RAMIREZ";"05002";"ABEJORRAL";"ANTIOQUIA";"A";"OFICIAL";"COMPLETA U ORDINARIA";8;49,25;50,13;45,88;47,75;44,13;52,5;47,75;8,38;8,98;14,05;10,75;5,06;12,31;13,26;"20152"
"031971";"I. E.  LA MILAGROSA";"05004";"ABRIAQUI";"ANTIOQUIA";"A";"OFICIAL";"COMPLETA U ORDINARIA";24;47,25;45,17;48,5;46,04;47,33;45,58;48,21;7,52;8,84;8,16;7,9;6,02;11,04;9,03;"20152"
"141119";"COLEGIO IAUR";"05004";"ABRIAQUI";"ANTIOQUIA";"A";"NO OFICIAL";"COMPLETA U ORDINARIA";5;36,4;33,8;29,6;37,4;42,4;33,6;32,2;4,72;4,27;5,27;3,85;4,77;8,79;5,02;"20152"
"031989";"LICEO DE ALEJANDRIA";"05021";"ALEJANDRIA";"ANTIOQUIA";"A";"OFICIAL";"COMPLETA U ORDINARIA";24;53,17;48;52,58;50,5;47,17;48,29;52;6,96;8,46;8,63;7,98;6,23;10,4;7,65;"20152"
