timestamp,PitchSensor
1583210340057,0.0
1583210340177,0.0
1583210340257,0.0
1583210340337,0.0
1583210340416,0.0
1583210340548,0.0
1583210340627,0.0
1583210340707,0.0
1583210340834,161.6552734375
1583210340867,161.6552734375
1583210340907,161.6552734375
1583210340913,211.50390625
1583210340949,211.50390625
1583210340987,211.50390625
1583210340994,210.80078125
1583210341028,210.80078125
1583210341077,210.80078125
1583210341078,0.0
1583210341198,0.0
1583210341287,235.537109375
1583210341317,235.537109375
1583210341357,235.537109375
1583210341364,186.7822265625
1583210341397,186.7822265625
1583210341437,186.7822265625
1583210341478,186.7822265625
1583210341482,199.0185546875
1583210341517,199.0185546875
1583210341557,199.0185546875
1583210341564,234.052734375
1583210341597,234.052734375
1583210341647,234.052734375
1583210341655,235.068359375
1583210341682,235.068359375
1583210341722,235.068359375
1583210341726,229.2236328125
1583210341763,229.2236328125
1583210341803,229.2236328125
1583210341843,229.2236328125
1583210341847,232.333984375
1583210341848,232.333984375
1583210341882,232.333984375
1583210341923,232.333984375
1583210341929,232.099609375
1583210341963,232.099609375
1583210342002,232.099609375
1583210342010,233.193359375
1583210342042,233.193359375
1583210342083,233.193359375
1583210342124,233.193359375
1583210342127,232.724609375
1583210342163,232.724609375
1583210342213,232.724609375
1583210342220,232.802734375
1583210342221,232.802734375
1583210342253,232.802734375
1583210342293,232.802734375
1583210342298,234.130859375
1583210342333,234.130859375
1583210342372,234.130859375
1583210342377,233.037109375
1583210342412,233.037109375
1583210342453,233.037109375
1583210342493,233.037109375
1583210342497,234.443359375
1583210342533,234.443359375
1583210342572,234.443359375
1583210342579,234.677734375
1583210342612,234.677734375
1583210342652,234.677734375
1583210342660,233.896484375
1583210342692,233.896484375
1583210342745,233.896484375
1583210342782,233.896484375
1583210342785,233.505859375
1583210342822,233.505859375
1583210342863,233.505859375
1583210342879,234.052734375
1583210342903,234.052734375
1583210342943,234.052734375
1583210342947,234.287109375
1583210342982,234.287109375
1583210343022,234.287109375
1583210343034,234.208984375
1583210343061,234.208984375
1583210343103,234.208984375
1583210343142,234.208984375
1583210343146,232.724609375
1583210343182,232.724609375
1583210343224,232.724609375
1583210343229,234.052734375
1583210343262,234.052734375
1583210343313,234.052734375
1583210343315,234.052734375
1583210343353,234.052734375
1583210343392,234.052734375
1583210343432,234.052734375
1583210343436,233.193359375
1583210343472,233.193359375
1583210343512,233.193359375
1583210343519,233.115234375
1583210343552,233.115234375
1583210343592,233.115234375
1583210343607,233.505859375
1583210343632,233.505859375
1583210343672,233.505859375
1583210343677,233.662109375
1583210343712,233.662109375
1583210343753,233.662109375
1583210343793,233.662109375
1583210343797,233.271484375
1583210343832,233.271484375
1583210343877,233.271484375
1583210343881,232.958984375
1583210343917,232.958984375
1583210343958,232.958984375
1583210343964,233.818359375
1583210343998,233.818359375
1583210344038,233.818359375
1583210344078,233.818359375
1583210344086,233.896484375
1583210344117,233.896484375
1583210344158,233.896484375
1583210344165,232.568359375
1583210344197,232.568359375
1583210344237,232.568359375
1583210344241,232.646484375
1583210344276,232.646484375
1583210344317,232.646484375
1583210344321,233.271484375
1583210344357,233.271484375
1583210344397,233.271484375
1583210344448,233.271484375
1583210344452,233.115234375
1583210344487,233.115234375
1583210344527,233.115234375
1583210344535,232.880859375
1583210344567,232.880859375
1583210344607,232.880859375
1583210344613,234.833984375
1583210344648,234.833984375
1583210344687,234.833984375
1583210344727,234.833984375
1583210344733,235.380859375
1583210344767,235.380859375
1583210344807,235.380859375
