"X";"Y";"Elevacion.de.la.capa";"Espesor.de.la.capa";"Poder.calorífico";"Contenido.de.ceniza";"Porcentaje.de.sulfuro"
10550;13200;598,9;2,87;25,64;15,46;0,97
9500;13500;608,2;2,34;21,47;19,89;0,82
10100;13650;606,1;2;25,61;16,79;1,1
9800;12900;604;1,71;21,35;21,81;0,97
10100;12600;601,5;2,22;22,19;21,96;1,11
10700;13950;608,4;2,04;25,39;17,49;1,22
9800;13350;603,6;2,11;24,91;17,71;1,21
10100;13800;606,9;2,14;25,62;13,93;1,05
10700;12750;599,5;3,29;25,23;16,47;0,93
11000;13800;606,8;2,11;26,59;15,62;1,03
10550;12600;602,6;2,65;24,07;17,63;1,24
9800;13800;608,3;2,03;21,86;18,78;0,98
10400;12750;601,1;3,1;24,34;17,53;1,29
10850;13500;603;1,58;28,38;13,05;1,25
9650;13200;606,3;1,74;22,68;20,16;0,77
11000;14100;606,9;1,69;25,57;14,63;1,03
9650;13650;608,1;2,17;23,41;17,99;0,88
9950;13950;607,9;1,89;23,54;17,34;0,86
9500;12750;604,7;2,18;20,9;20,59;0,99
10400;14100;609,8;2,36;24,71;16,5;1,09
9500;13050;605,8;2,23;21,36;20,4;1,15
9650;13050;605,8;1,94;20,78;21,08;0,75
10400;13350;599,8;3,01;28,72;11,6;1,22
10250;13350;600,4;2,55;27,31;14,82;1,3
10250;12900;599,7;3,07;23,36;16,96;1
10550;13800;606,7;2,16;28,75;11,67;1,13
9500;12600;605,9;1,84;22,26;19,29;0,83
10250;14100;610;2,13;24,25;17,23;0,92
10250;13050;599,4;2,71;25,5;16,14;1,21
10250;13200;599,2;2,75;26,29;14,85;1,09
9500;14100;615,5;1,83;20,45;21,53;0,77
10100;12750;601,7;2,17;23,19;18,65;1,12
11000;13950;605,3;1,66;25,75;16,1;1,34
10250;13650;605,4;2,17;29,3;12,59;1,4
10700;13800;607,6;1,98;27,17;13,65;1,24
9650;12600;605,1;1,73;21,36;19,97;0,78
10400;13650;605,3;1,95;30,46;11,92;1,37
9650;12900;605,4;2,29;20,58;21,23;0,98
9950;12600;601,5;1,65;22,34;19,09;1,03
10100;14100;609,2;1,89;24,58;18,17;0,87
9800;12750;604,5;1,47;20,83;20,74;1,07
10250;13500;601,5;2,45;28,98;12,51;1,27
10700;12900;598,9;3,26;25,19;15,84;1,12
10700;14100;608,6;1,94;24,29;18,16;1,09
10550;13050;597,9;2,85;23,19;18,57;0,78
9500;13650;608,8;2,13;20,97;21,93;0,87
10550;13350;600,9;2,76;26,55;14,97;0,97
9500;12900;606,1;1,94;21,84;20,66;1,1
9500;13200;606,6;2,11;23,43;19,91;1,04
9500;13950;614,3;2,17;19,92;23,02;0,93
