"X";"Y";"Elevacion.de.la.capa";"Espesor.de.la.capa";"Poder.calorífico";"Contenido.de.ceniza";"Porcentaje.de.sulfuro"
9650;13050;605,8;1,94;20,78;21,08;0,75
10550;13800;606,7;2,16;28,75;11,67;1,13
10700;13200;601,3;2,63;26,03;14,58;1,04
9800;13500;604,5;2,2;23,76;18,41;1
10400;13200;597;2,74;26,85;14;1,01
9800;14100;612,2;1,54;22,8;19,73;0,96
9650;13200;606,3;1,74;22,68;20,16;0,77
9800;13050;604,1;1,94;21,73;20,48;0,95
9650;13650;608,1;2,17;23,41;17,99;0,88
10100;14100;609,2;1,89;24,58;18,17;0,87
9500;13800;611;1,96;21,13;20,92;1,06
10550;13050;597,9;2,85;23,19;18,57;0,78
11000;13800;606,8;2,11;26,59;15,62;1,03
11000;13650;603,7;2,01;27,15;13,79;1,25
9800;13200;603,9;2,18;24,04;17,24;1
10100;12600;601,5;2,22;22,19;21,96;1,11
10850;12600;603,2;2,84;22,11;18,65;0,86
10850;13500;603;1,58;28,38;13,05;1,25
10400;13950;608,2;2,21;26,11;14,2;0,84
9950;13500;603,1;2,3;26,8;14,28;1,16
11000;12750;599,2;2,95;24,23;16,11;1,02
10550;12600;602,6;2,65;24,07;17,63;1,24
9800;12900;604;1,71;21,35;21,81;0,97
10100;13800;606,9;2,14;25,62;13,93;1,05
11000;12900;598,7;2,9;24,43;16,86;0,95
9950;14100;611,6;1,3;23,85;17,36;1,02
10550;12750;601,6;3,11;25,55;14,6;1,15
9650;13800;610,1;2,26;22,67;18,73;0,85
10250;13650;605,4;2,17;29,3;12,59;1,4
9500;13950;614,3;2,17;19,92;23,02;0,93
9650;12750;604,5;2,08;21,7;20,49;0,89
9500;13650;608,8;2,13;20,97;21,93;0,87
10400;13800;607,1;2,14;28,98;12,42;1,1
11000;14100;606,9;1,69;25,57;14,63;1,03
10100;13050;599;2,71;24,56;17,18;1,14
9950;13050;602,7;2,42;23,28;17,51;1,11
10400;13350;599,8;3,01;28,72;11,6;1,22
10700;13050;598,1;2,83;24,48;17,75;1,14
10700;13350;601,3;2,14;28,22;12,06;1,4
10250;13500;601,5;2,45;28,98;12,51;1,27
9500;12600;605,9;1,84;22,26;19,29;0,83
10100;12750;601,7;2,17;23,19;18,65;1,12
10550;13200;598,9;2,87;25,64;15,46;0,97
10700;14100;608,6;1,94;24,29;18,16;1,09
10850;13350;600,6;1,85;27,05;12,69;1,17
9800;13350;603,6;2,11;24,91;17,71;1,21
10250;13200;599,2;2,75;26,29;14,85;1,09
10700;12900;598,9;3,26;25,19;15,84;1,12
10700;13650;605,9;1,53;28,41;12,12;1,21
10850;12750;600,1;3,26;23,48;19,29;0,99
