"X";"Y";"Elevacion.de.la.capa";"Espesor.de.la.capa";"Poder.calorífico";"Contenido.de.ceniza";"Porcentaje.de.sulfuro"
10400;13500;602,9;2,43;29,55;11,38;1,28
10400;12900;599,7;2,8;24,53;16,73;0,71
9650;12900;605,4;2,29;20,58;21,23;0,98
9950;12600;601,5;1,65;22,34;19,09;1,03
10100;12600;601,5;2,22;22,19;21,96;1,11
9500;13800;611;1,96;21,13;20,92;1,06
9500;12750;604,7;2,18;20,9;20,59;0,99
11000;13200;600,3;2,46;25,8;13,04;1,07
9650;13650;608,1;2,17;23,41;17,99;0,88
10400;12750;601,1;3,1;24,34;17,53;1,29
11000;13800;606,8;2,11;26,59;15,62;1,03
10700;13950;608,4;2,04;25,39;17,49;1,22
9800;12750;604,5;1,47;20,83;20,74;1,07
10250;13950;608,3;2,11;24,82;18,99;1,35
9800;13200;603,9;2,18;24,04;17,24;1
10400;13350;599,8;3,01;28,72;11,6;1,22
10850;13950;607,8;1,73;26,62;13,05;1,05
10400;13800;607,1;2,14;28,98;12,42;1,1
9800;13500;604,5;2,2;23,76;18,41;1
10400;13950;608,2;2,21;26,11;14,2;0,84
9500;13950;614,3;2,17;19,92;23,02;0,93
10400;14100;609,8;2,36;24,71;16,5;1,09
10550;12600;602,6;2,65;24,07;17,63;1,24
10100;12750;601,7;2,17;23,19;18,65;1,12
10400;13050;598,4;2,99;24,89;16,5;1,14
9950;13050;602,7;2,42;23,28;17,51;1,11
10100;13050;599;2,71;24,56;17,18;1,14
10550;12900;600,8;3,1;24,67;17,53;0,93
9800;13350;603,6;2,11;24,91;17,71;1,21
9950;13350;602,3;2,37;24,94;16,14;0,84
9500;13200;606,6;2,11;23,43;19,91;1,04
9650;12750;604,5;2,08;21,7;20,49;0,89
10250;12900;599,7;3,07;23,36;16,96;1
10250;13350;600,4;2,55;27,31;14,82;1,3
10850;13200;600;2,31;26,62;16,65;1,04
10100;13650;606,1;2;25,61;16,79;1,1
11000;13350;600,4;1,97;25,97;16,19;0,96
10700;13050;598,1;2,83;24,48;17,75;1,14
9650;13500;606,8;2,42;23,07;19,02;1,09
10100;12900;601,4;2,35;23,53;18,24;0,93
9650;12600;605,1;1,73;21,36;19,97;0,78
10550;13050;597,9;2,85;23,19;18,57;0,78
9950;13950;607,9;1,89;23,54;17,34;0,86
9800;14100;612,2;1,54;22,8;19,73;0,96
10400;13650;605,3;1,95;30,46;11,92;1,37
11000;13950;605,3;1,66;25,75;16,1;1,34
10550;13500;603;2,68;29,56;12,03;1,11
10700;13350;601,3;2,14;28,22;12,06;1,4
10700;12900;598,9;3,26;25,19;15,84;1,12
10850;13500;603;1,58;28,38;13,05;1,25
