"X";"Y";"Elevacion.de.la.capa";"Espesor.de.la.capa";"Poder.calorífico";"Contenido.de.ceniza";"Porcentaje.de.sulfuro"
10850;13350;600,6;1,85;27,05;12,69;1,17
9800;12900;604;1,71;21,35;21,81;0,97
10550;12750;601,6;3,11;25,55;14,6;1,15
9500;14100;615,5;1,83;20,45;21,53;0,77
9500;13200;606,6;2,11;23,43;19,91;1,04
10700;13200;601,3;2,63;26,03;14,58;1,04
10100;12750;601,7;2,17;23,19;18,65;1,12
9650;13050;605,8;1,94;20,78;21,08;0,75
11000;13350;600,4;1,97;25,97;16,19;0,96
11000;13200;600,3;2,46;25,8;13,04;1,07
9650;12750;604,5;2,08;21,7;20,49;0,89
10550;13650;604,8;2,12;28,27;10,91;0,99
10700;14100;608,6;1,94;24,29;18,16;1,09
10400;13950;608,2;2,21;26,11;14,2;0,84
10850;13950;607,8;1,73;26,62;13,05;1,05
10250;14100;610;2,13;24,25;17,23;0,92
9650;12900;605,4;2,29;20,58;21,23;0,98
9650;13650;608,1;2,17;23,41;17,99;0,88
10850;13200;600;2,31;26,62;16,65;1,04
10850;13500;603;1,58;28,38;13,05;1,25
9500;12600;605,9;1,84;22,26;19,29;0,83
10550;13050;597,9;2,85;23,19;18,57;0,78
10100;12600;601,5;2,22;22,19;21,96;1,11
9800;14100;612,2;1,54;22,8;19,73;0,96
10550;12900;600,8;3,1;24,67;17,53;0,93
9500;13050;605,8;2,23;21,36;20,4;1,15
9950;13950;607,9;1,89;23,54;17,34;0,86
10100;13800;606,9;2,14;25,62;13,93;1,05
10700;13050;598,1;2,83;24,48;17,75;1,14
10700;13950;608,4;2,04;25,39;17,49;1,22
10550;13200;598,9;2,87;25,64;15,46;0,97
11000;14100;606,9;1,69;25,57;14,63;1,03
10250;13050;599,4;2,71;25,5;16,14;1,21
9800;13050;604,1;1,94;21,73;20,48;0,95
10700;12750;599,5;3,29;25,23;16,47;0,93
9800;12750;604,5;1,47;20,83;20,74;1,07
9950;13500;603,1;2,3;26,8;14,28;1,16
9800;13800;608,3;2,03;21,86;18,78;0,98
10400;13800;607,1;2,14;28,98;12,42;1,1
10700;13350;601,3;2,14;28,22;12,06;1,4
9650;13950;614,2;1,71;21,19;22,15;1,09
10850;12750;600,1;3,26;23,48;19,29;0,99
10250;13650;605,4;2,17;29,3;12,59;1,4
11000;13950;605,3;1,66;25,75;16,1;1,34
10850;14100;606,8;1,75;25,24;16,37;1,11
9950;13350;602,3;2,37;24,94;16,14;0,84
9950;12900;602,5;2,13;24,02;17,68;0,83
10250;13350;600,4;2,55;27,31;14,82;1,3
9650;13500;606,8;2,42;23,07;19,02;1,09
10100;13050;599;2,71;24,56;17,18;1,14
