"X";"Y";"Elevacion.de.la.capa";"Espesor.de.la.capa";"Poder.calorífico";"Contenido.de.ceniza";"Porcentaje.de.sulfuro"
10100;12600;601,5;2,22;22,19;21,96;1,11
10250;13650;605,4;2,17;29,3;12,59;1,4
9650;13500;606,8;2,42;23,07;19,02;1,09
10250;12600;601,3;2,54;22,43;18,55;1,03
10550;13350;600,9;2,76;26,55;14,97;0,97
10550;12900;600,8;3,1;24,67;17,53;0,93
11000;14100;606,9;1,69;25,57;14,63;1,03
10400;12900;599,7;2,8;24,53;16,73;0,71
11000;13350;600,4;1,97;25,97;16,19;0,96
9500;14100;615,5;1,83;20,45;21,53;0,77
10850;13350;600,6;1,85;27,05;12,69;1,17
10400;13350;599,8;3,01;28,72;11,6;1,22
9500;12900;606,1;1,94;21,84;20,66;1,1
9500;13650;608,8;2,13;20,97;21,93;0,87
9650;12600;605,1;1,73;21,36;19,97;0,78
9500;13500;608,2;2,34;21,47;19,89;0,82
10100;13050;599;2,71;24,56;17,18;1,14
9800;13500;604,5;2,2;23,76;18,41;1
10850;14100;606,8;1,75;25,24;16,37;1,11
10400;13800;607,1;2,14;28,98;12,42;1,1
10550;13200;598,9;2,87;25,64;15,46;0,97
10400;13650;605,3;1,95;30,46;11,92;1,37
10700;13350;601,3;2,14;28,22;12,06;1,4
10100;12900;601,4;2,35;23,53;18,24;0,93
10400;13500;602,9;2,43;29,55;11,38;1,28
9650;13200;606,3;1,74;22,68;20,16;0,77
10100;13800;606,9;2,14;25,62;13,93;1,05
9650;12900;605,4;2,29;20,58;21,23;0,98
9800;13200;603,9;2,18;24,04;17,24;1
9950;13500;603,1;2,3;26,8;14,28;1,16
9500;12750;604,7;2,18;20,9;20,59;0,99
11000;12750;599,2;2,95;24,23;16,11;1,02
10850;13050;598;3,08;25,19;18,1;1,21
10250;13950;608,3;2,11;24,82;18,99;1,35
9950;12600;601,5;1,65;22,34;19,09;1,03
9650;13800;610,1;2,26;22,67;18,73;0,85
10250;13350;600,4;2,55;27,31;14,82;1,3
9500;13950;614,3;2,17;19,92;23,02;0,93
9800;12900;604;1,71;21,35;21,81;0,97
9950;12900;602,5;2,13;24,02;17,68;0,83
10100;13200;600,2;2,82;24,57;15,8;0,91
10550;13650;604,8;2,12;28,27;10,91;0,99
10250;14100;610;2,13;24,25;17,23;0,92
10250;12900;599,7;3,07;23,36;16,96;1
10550;12600;602,6;2,65;24,07;17,63;1,24
11000;12900;598,7;2,9;24,43;16,86;0,95
10400;13950;608,2;2,21;26,11;14,2;0,84
10700;13800;607,6;1,98;27,17;13,65;1,24
10700;12900;598,9;3,26;25,19;15,84;1,12
10100;12750;601,7;2,17;23,19;18,65;1,12
