"X";"Y";"Elevacion.de.la.capa";"Espesor.de.la.capa";"Poder.calorífico";"Contenido.de.ceniza";"Porcentaje.de.sulfuro"
10700;12900;598,9;3,26;25,19;15,84;1,12
9500;13800;611;1,96;21,13;20,92;1,06
11000;13200;600,3;2,46;25,8;13,04;1,07
9950;14100;611,6;1,3;23,85;17,36;1,02
10400;12900;599,7;2,8;24,53;16,73;0,71
10550;13350;600,9;2,76;26,55;14,97;0,97
10850;13050;598;3,08;25,19;18,1;1,21
10400;13050;598,4;2,99;24,89;16,5;1,14
9650;13950;614,2;1,71;21,19;22,15;1,09
10400;13950;608,2;2,21;26,11;14,2;0,84
9500;13650;608,8;2,13;20,97;21,93;0,87
11000;13950;605,3;1,66;25,75;16,1;1,34
9500;14100;615,5;1,83;20,45;21,53;0,77
9800;12900;604;1,71;21,35;21,81;0,97
9950;13050;602,7;2,42;23,28;17,51;1,11
10100;12900;601,4;2,35;23,53;18,24;0,93
9650;13200;606,3;1,74;22,68;20,16;0,77
9650;12600;605,1;1,73;21,36;19,97;0,78
9950;13500;603,1;2,3;26,8;14,28;1,16
10100;13800;606,9;2,14;25,62;13,93;1,05
10850;13500;603;1,58;28,38;13,05;1,25
10850;13950;607,8;1,73;26,62;13,05;1,05
11000;14100;606,9;1,69;25,57;14,63;1,03
9500;12900;606,1;1,94;21,84;20,66;1,1
10550;13500;603;2,68;29,56;12,03;1,11
9800;13800;608,3;2,03;21,86;18,78;0,98
10850;12600;603,2;2,84;22,11;18,65;0,86
10550;12600;602,6;2,65;24,07;17,63;1,24
10850;14100;606,8;1,75;25,24;16,37;1,11
10400;13200;597;2,74;26,85;14;1,01
11000;12750;599,2;2,95;24,23;16,11;1,02
10550;13650;604,8;2,12;28,27;10,91;0,99
11000;12900;598,7;2,9;24,43;16,86;0,95
10100;12600;601,5;2,22;22,19;21,96;1,11
9950;12600;601,5;1,65;22,34;19,09;1,03
10250;12900;599,7;3,07;23,36;16,96;1
11000;13350;600,4;1,97;25,97;16,19;0,96
10100;12750;601,7;2,17;23,19;18,65;1,12
10250;14100;610;2,13;24,25;17,23;0,92
9800;13500;604,5;2,2;23,76;18,41;1
10250;12600;601,3;2,54;22,43;18,55;1,03
10100;14100;609,2;1,89;24,58;18,17;0,87
9950;13350;602,3;2,37;24,94;16,14;0,84
10250;13500;601,5;2,45;28,98;12,51;1,27
11000;13650;603,7;2,01;27,15;13,79;1,25
9500;13950;614,3;2,17;19,92;23,02;0,93
11000;13800;606,8;2,11;26,59;15,62;1,03
10250;13050;599,4;2,71;25,5;16,14;1,21
10400;12750;601,1;3,1;24,34;17,53;1,29
10400;13650;605,3;1,95;30,46;11,92;1,37
