"X";"Y";"Elevacion.de.la.capa";"Espesor.de.la.capa";"Poder.calorífico";"Contenido.de.ceniza";"Porcentaje.de.sulfuro"
9500;13950;614,3;2,17;19,92;23,02;0,93
10550;13650;604,8;2,12;28,27;10,91;0,99
10850;14100;606,8;1,75;25,24;16,37;1,11
9500;12900;606,1;1,94;21,84;20,66;1,1
9800;13800;608,3;2,03;21,86;18,78;0,98
11000;13800;606,8;2,11;26,59;15,62;1,03
10250;13650;605,4;2,17;29,3;12,59;1,4
10100;13800;606,9;2,14;25,62;13,93;1,05
9500;13200;606,6;2,11;23,43;19,91;1,04
10850;12750;600,1;3,26;23,48;19,29;0,99
10100;13200;600,2;2,82;24,57;15,8;0,91
9950;13350;602,3;2,37;24,94;16,14;0,84
10700;13950;608,4;2,04;25,39;17,49;1,22
10550;12600;602,6;2,65;24,07;17,63;1,24
11000;12900;598,7;2,9;24,43;16,86;0,95
9500;13500;608,2;2,34;21,47;19,89;0,82
10400;14100;609,8;2,36;24,71;16,5;1,09
10550;13500;603;2,68;29,56;12,03;1,11
10850;13200;600;2,31;26,62;16,65;1,04
9800;13200;603,9;2,18;24,04;17,24;1
10400;12750;601,1;3,1;24,34;17,53;1,29
9950;13950;607,9;1,89;23,54;17,34;0,86
9500;12600;605,9;1,84;22,26;19,29;0,83
10400;13650;605,3;1,95;30,46;11,92;1,37
10850;13050;598;3,08;25,19;18,1;1,21
11000;13950;605,3;1,66;25,75;16,1;1,34
9500;14100;615,5;1,83;20,45;21,53;0,77
10700;13050;598,1;2,83;24,48;17,75;1,14
11000;12750;599,2;2,95;24,23;16,11;1,02
9650;13650;608,1;2,17;23,41;17,99;0,88
10850;13350;600,6;1,85;27,05;12,69;1,17
10550;13350;600,9;2,76;26,55;14,97;0,97
10100;12900;601,4;2,35;23,53;18,24;0,93
10700;13200;601,3;2,63;26,03;14,58;1,04
10100;14100;609,2;1,89;24,58;18,17;0,87
10700;13800;607,6;1,98;27,17;13,65;1,24
11000;13200;600,3;2,46;25,8;13,04;1,07
9500;12750;604,7;2,18;20,9;20,59;0,99
10850;13950;607,8;1,73;26,62;13,05;1,05
11000;13350;600,4;1,97;25,97;16,19;0,96
9500;13800;611;1,96;21,13;20,92;1,06
10850;12600;603,2;2,84;22,11;18,65;0,86
9800;13350;603,6;2,11;24,91;17,71;1,21
11000;13650;603,7;2,01;27,15;13,79;1,25
9950;13050;602,7;2,42;23,28;17,51;1,11
10550;13200;598,9;2,87;25,64;15,46;0,97
9800;12750;604,5;1,47;20,83;20,74;1,07
10700;13650;605,9;1,53;28,41;12,12;1,21
10700;12750;599,5;3,29;25,23;16,47;0,93
10400;13350;599,8;3,01;28,72;11,6;1,22
