"X";"Y";"Elevacion.de.la.capa";"Espesor.de.la.capa";"Poder.calorífico";"Contenido.de.ceniza";"Porcentaje.de.sulfuro"
10550;13800;606,7;2,16;28,75;11,67;1,13
9500;13950;614,3;2,17;19,92;23,02;0,93
10400;13350;599,8;3,01;28,72;11,6;1,22
10100;12750;601,7;2,17;23,19;18,65;1,12
10550;13350;600,9;2,76;26,55;14,97;0,97
9800;13800;608,3;2,03;21,86;18,78;0,98
9800;14100;612,2;1,54;22,8;19,73;0,96
10550;13650;604,8;2,12;28,27;10,91;0,99
9650;12900;605,4;2,29;20,58;21,23;0,98
11000;12900;598,7;2,9;24,43;16,86;0,95
9650;13050;605,8;1,94;20,78;21,08;0,75
10700;13650;605,9;1,53;28,41;12,12;1,21
10550;13200;598,9;2,87;25,64;15,46;0,97
10850;13200;600;2,31;26,62;16,65;1,04
10700;13950;608,4;2,04;25,39;17,49;1,22
10250;12900;599,7;3,07;23,36;16,96;1
10250;13050;599,4;2,71;25,5;16,14;1,21
10400;12900;599,7;2,8;24,53;16,73;0,71
10400;13200;597;2,74;26,85;14;1,01
10550;12900;600,8;3,1;24,67;17,53;0,93
10850;13950;607,8;1,73;26,62;13,05;1,05
9950;14100;611,6;1,3;23,85;17,36;1,02
10100;13050;599;2,71;24,56;17,18;1,14
10400;14100;609,8;2,36;24,71;16,5;1,09
10250;14100;610;2,13;24,25;17,23;0,92
9800;13350;603,6;2,11;24,91;17,71;1,21
10250;12600;601,3;2,54;22,43;18,55;1,03
10250;13650;605,4;2,17;29,3;12,59;1,4
11000;13950;605,3;1,66;25,75;16,1;1,34
10400;13800;607,1;2,14;28,98;12,42;1,1
10700;13800;607,6;1,98;27,17;13,65;1,24
10100;13800;606,9;2,14;25,62;13,93;1,05
9500;12750;604,7;2,18;20,9;20,59;0,99
10550;12600;602,6;2,65;24,07;17,63;1,24
9950;13050;602,7;2,42;23,28;17,51;1,11
11000;13350;600,4;1,97;25,97;16,19;0,96
9650;13950;614,2;1,71;21,19;22,15;1,09
9650;13500;606,8;2,42;23,07;19,02;1,09
9650;13800;610,1;2,26;22,67;18,73;0,85
9500;12900;606,1;1,94;21,84;20,66;1,1
10700;12900;598,9;3,26;25,19;15,84;1,12
11000;13800;606,8;2,11;26,59;15,62;1,03
10550;13500;603;2,68;29,56;12,03;1,11
10100;14100;609,2;1,89;24,58;18,17;0,87
11000;12750;599,2;2,95;24,23;16,11;1,02
9650;12750;604,5;2,08;21,7;20,49;0,89
9800;13500;604,5;2,2;23,76;18,41;1
10850;13050;598;3,08;25,19;18,1;1,21
11000;13650;603,7;2,01;27,15;13,79;1,25
9650;13650;608,1;2,17;23,41;17,99;0,88
